ᆜ	j ɯ	jㅡ
마한	m a̠ː ɦ a̠ n	마한
막	m a̠ k̚	막
막돌	m a̠ k̚ t͈ o̞ ɭ	막똘
막상	m a̠ k s͈ a̠ ŋ	막쌍
만	m a̠ n	만
만국기	m a̠ː n ɡ u k̚ k͈ i	만국끼
만두국	m a̠ n d u k͈ u k̚	만두꾹
만루	m a̠ː ɭ ɭ u	말루
만리화	m a̠ ʎ ʎ i β w a̠	말리화
만만세	m a̠ː n m a̠ n sʰ e̞	만만세
만만하다	m a̠ n m a̠ n ɦ a̠ d a̠	만만하다
만발하다	m a̠ː n b a̠ ɾ ɦ a̠ d a̠	만발하다
만성적	m a̠ n sʰ ʌ̹ ŋ t͡ɕ͈ ʌ̹ k̚	만성쩍
만수르	m a̠ n s͈ u ɾ ɯ	만쑤르
만신	m a̠ː n ɕʰ i n	만신
만신창이	m a̠ː n ɕʰ i ɲ t͡ɕʰ a̠ ŋ i	만신창이
만억	m a̠ː n ʌ̹ k̚	마넉
만연체	m a̠ ɲ ʌ̹ ɲ t͡ɕʰ e̞	마넌체
만연하다	m a̠ ɲ ʌ̹ n ɦ a̠ d a̠	마넌하다
만엽집	m a̠ː ɲ ʌ̹ p̚ t͡ɕ͈ i p̚	마넙찝
만우절	m a̠ː n u d͡ʑ ʌ̹ ɭ	마누절
만유하다	m a̠ː ɲ u ɦ a̠ d a̠	마누하다
만이	m a̠ n i	마니
만장일치	m a̠ː ɲ d͡ʑ a̠ ŋ i ʎ t͡ɕʰ i	만장일치
만족하다	m a̠ ɲ d͡ʑ o̞ kʰ a̠ d a̠	만조카다
만주어	m a̠ ɲ d͡ʑ u ʌ̹	만주어
만포	m a̠ː n pʰ o̞	만포
만포장이다	m a̠ n pʰ o̞ d͡ʑ a̠ ŋ i d a̠	만포장이다
만화영화	m a̠ː n β w a̠ j ʌ̹ ŋ β w a̠	만화영화
만회	m a̠ n β w e̞	만회
만회되다	m a̠ n β w e̞ d w e̞ d a̠	만회되다
만회하다	m a̠ n β w e̞ ɦ a̠ d a̠	만회하다
말	m a̠ ɭ	말
말갛다	m a̠ː ɭ ɡ a̠ tʰ a̠	말가타
말거머리	m a̠ ɭ ɡ ʌ̹ m ʌ̹ ɾ i	말거머리
말다	m a̠ ɭ d a̠	말다
말똥구리	m a̠ ɭ t͈ o̞ ŋ ɡ u ɾ i	말똥구리
말라빠지다	m a̠ ɭ ɭ a̠ p͈ a̠ d͡ʑ i d a̠	말라빠지다
말레이	m a̠ ɭ ɭ e̞ i	말레이
말리다	m a̠ ʎ ʎ i d a̠	말리다
말미암다	m a̠ ɭ m i a̠ m t͈ a̠	말미암따
말뿌리	m a̠ː ɭ p͈ u ɾ i	말뿌리
말씨	m a̠ː ɭ ɕ͈ i	말씨
말차	m a̠ ʎ t͡ɕʰ a̠	말차
말코손바닥사슴	m a̠ ɭ kʰ o̞ sʰ o̞ n b a̠ d a̠ k s͈ a̠ sʰ ɯ m	말코손바닥싸슴
말투	m a̠ː ɭ tʰ u	말투
맘	m a̠ː m	맘
맘마	m a̠ m m a̠	맘마
맘마통	m a̠ m m a̠ tʰ o̞ ŋ	맘마통
맘속	m a̠ː m s͈ o̞ k̚	맘쏙
맘카페	m a̠ m kʰ a̠ pʰ e̞	맘카페
맙소사	m a̠ː p s͈ o̞ sʰ a̠	맙쏘사
맛	m a̠ t̚	맏
망	m a̠ ŋ	망
망나니	m a̠ ŋ n a̠ n i	망나니
망루	m a̠ː ŋ n u	망누
망신	m a̠ ŋ ɕʰ i n	망신
망아지	m a̠ ŋ a̠ d͡ʑ i	망아지
망연	m a̠ ŋ j ʌ̹ n	망연
망연하다	m a̠ ŋ j ʌ̹ n ɦ a̠ d a̠	망연하다
망울	m a̠ ŋ u ɭ	망울
망초	m a̠ ŋ t͡ɕʰ o̞	망초
맞이하다	m a̠ d͡ʑ i ɦ a̠ d a̠	마지하다
매	m ɛː	매
매달다	m ɛː d a̠ ɭ d a̠	매달다
매도	m ɛː d o̞	매도
매도하다	m ɛː d o̞ ɦ a̠ d a̠	매도하다
매물	m ɛː m u ɭ	매물
매음굴	m ɛː ɯ m ɡ u ɭ	매음굴
매이다	m ɛː i d a̠	매이다
맨	m ɛː n	맨
맹비난하다	m ɛː ŋ b i n a̠ n ɦ a̠ d a̠	맹비난하다
맹세하다	m ɛː ŋ sʰ e̞ ɦ a̠ d a̠	맹세하다
먄	m j a̠ː n	먄
머가리	m ʌ̹ ɡ a̠ ɾ i	머가리
머구	m ʌ̹ ɡ u	머구
머금다	m ʌ̹ ɡ ɯ m t͈ a̠	머금따
머리글	m ʌ̹ ɾ i ɡ ɯ ɭ	머리글
머리끝	m ʌ̹ ɾ i k͈ ɯ t̚	머리끋
머리맡	m ʌ̹ ɾ i m a̠ t̚	머리맏
머리하다	m ʌ̹ ɾ i ɦ a̠ d a̠	머리하다
머릿결	m ʌ̹ ɾ i t̚ k͈ j ʌ̹ ɭ	머릳껼
머신	m ʌ̹ ɕʰ i n	머신
머위	m ʌ̹ ɥ i	머위
머전	m ʌ̹ d͡ʑ ʌ̹ n	머전
머플러	m ʌ̹ pʰ ɯ ɭ ɭ ʌ̹	머플러
머피	m ʌ̹ pʰ i	머피
먹	m ʌ̹ k̚	먹
먹기	m ʌ̹ k̚ k͈ i	먹끼
먹방	m ʌ̹ k̚ p͈ a̠ ŋ	먹빵
먹사	m ʌ̹ k s͈ a̠	먹싸
먹이그물	m ʌ̹ ɡ i ɡ ɯ m u ɭ	머기그물
먼데기	m ʌ̹ n d e̞ ɡ i	먼데기
먼점	m ʌ̹ ɲ d͡ʑ ʌ̹ m	먼점
멈춤	m ʌ̹ m t͡ɕʰ u m	멈춤
멈칫	m ʌ̹ m t͡ɕʰ i t̚	멈칟
멋	m ʌ̹ t̚	먿
멍게	m ʌ̹ ŋ ɡ e̞	멍게
멍멍	m ʌ̹ ŋ m ʌ̹ ŋ	멍멍
멎다	m ʌ̹ t̚ t͈ a̠	먿따
메	m e̞	메
메기다	m e̞ ɡ i d a̠	메기다
메꽃	m e̞ k͈ o̞ t̚	메꼳
메노라	m e̞ n o̞ ɾ a̠	메노라
메다	m e̞ d a̠	메다
메디케어	m e̞ d i kʰ e̞ ʌ̹	메디케어
메르헨	m e̞ ɾ ɯ ɦ e̞ n	메르헨
메쏘드	m e̞ s͈ o̞ d ɯ	메쏘드
메이	m e̞ i	메이
메이크업	m e̞ i k x ɯ ʌ̹ p̚	메이크업
메인	m e̞ i n	메인
메인트	m e̞ i n tʰ ɯ	메인트
메주	m e̞ d͡ʑ u	메주
메추라기	m e̞ t͡ɕʰ u ɾ a̠ ɡ i	메추라기
메탐페타민	m e̞ tʰ a̠ m pʰ e̞ tʰ a̠ m i n	메탐페타민
메테인	m e̞ tʰ e̞ i n	메테인
멕이다	m e̞ ɡ i d a̠	메기다
멘델레븀	m e̞ n d e̞ ɭ ɭ e̞ b j u m	멘델레븀
멘붕	m e̞ n b u ŋ	멘붕
멜번	m e̞ ɭ b ʌ̹ n	멜번
멥쌀	m e̞ p s͈ a̠ ɭ	멥쌀
멧도요	m e̞ t̚ t͈ o̞ j o	멛또요
멧박쥐	m e̞ t̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i	멛빡쮜
멧밭쥐	m e̞ t̚ p͈ a̠ t̚ t͡ɕ͈ ɥ i	멛빧쮜
멧비둘기	m e̞ t̚ p͈ i d u ɭ ɡ i	멛삐둘기
멧토끼	m e̞ t̚ tʰ o̞ k͈ i	멛토끼
멩이	m e̞ ŋ i	멩이
멱	m j ʌ̹ k̚	멱
멱자구	m j ʌ̹ k̚ t͡ɕ͈ a̠ ɡ u	멱짜구
면	m j ʌ̹ n	면
면들레	m j ʌ̹ n d ɯ ɭ ɭ e̞	면들레
면사	m j ʌ̹ n sʰ a̠	면사
면실유	m j ʌ̹ n ɕʰ i ɾ j u	면시류
면양	m j ʌ̹ ɲ a̠ ŋ	며낭
면포	m j ʌ̹ n pʰ o̞	면포
멸	m j ʌ̹ ɭ	멸
명	m j ʌ̹ ŋ	명
명금	m j ʌ̹ ŋ ɡ ɯ m	명금
명료	m j ʌ̹ ŋ ɲ o	명뇨
명료하다	m j ʌ̹ ŋ ɲ o ɦ a̠ d a̠	명뇨하다
명민하다	m j ʌ̹ ŋ m i n ɦ a̠ d a̠	명민하다
명분	m j ʌ̹ ŋ b u n	명분
명사화	m j ʌ̹ ŋ sʰ a̠ β w a̠	명사화
명아주	m j ʌ̹ ŋ a̠ d͡ʑ u	명아주
명자	m j ʌ̹ ŋ t͡ɕ͈ a̠	명짜
명자나무	m j ʌ̹ ŋ d͡ʑ a̠ n a̠ m u	명자나무
명조	m j ʌ̹ ŋ d͡ʑ o̞	명조
명조체	m j ʌ̹ ŋ d͡ʑ o̞ t͡ɕʰ e̞	명조체
명창	m j ʌ̹ ŋ t͡ɕʰ a̠ ŋ	명창
명철	m j ʌ̹ ŋ t͡ɕʰ ʌ̹ ɭ	명철
명철하다	m j ʌ̹ ŋ t͡ɕʰ ʌ̹ ɾ ɦ a̠ d a̠	명철하다
몇	m j ʌ̹ t̚	멷
몌별	m j e̞ b j ʌ̹ ɭ	몌별
모	m o̞	모
모감주나무	m o̞ ɡ a̠ m d͡ʑ u n a̠ m u	모감주나무
모냥	m o̞ ɲ a̠ ŋ	모낭
모녀	m o̞ː ɲ ʌ̹	모너
모다	m o̞ː d a̠	모다
모둠	m o̞ d u m	모둠
모르폴린	m o̞ ɾ ɯ pʰ o̞ ʎ ʎ i n	모르폴린
모밀잣밤나무	m o̞ m i ʎ d͡ʑ a̠ t̚ p͈ a̠ m n a̠ m u	모밀잗빰나무
모반	m o̞ː b a̠ n	모반
모방하다	m o̞ b a̠ ŋ ɦ a̠ d a̠	모방하다
모범	m o̞ b ʌ̹ m	모범
모살	m o̞ sʰ a̠ ɭ	모살
모세	m o̞ sʰ e̞	모세
모솔	m o̞ː s͈ o̞ ɭ	모쏠
모시	m o̞ ɕʰ i	모시
모식	m o̞ ɕʰ i k̚	모식
모쏠	m o̞ː s͈ o̞ ɭ	모쏠
모욕하다	m o̞ː j o kʰ a̠ d a̠	모요카다
모용	m o̞ j o ŋ	모용
모자	m o̞ d͡ʑ a̠	모자
모자반	m o̞ d͡ʑ a̠ b a̠ n	모자반
모질다	m o̞ː d͡ʑ i ɭ d a̠	모질다
모충	m o̞ t͡ɕʰ u ŋ	모충
모친	m o̞ː t͡ɕʰ i n	모친
모페드	m o̞ pʰ e̞ d ɯ	모페드
목	m o̞ k̚	목
목격하다	m o̞ k̚ k͈ j ʌ̹ kʰ a̠ d a̠	목껴카다
목금	m o̞ k̚ k͈ ɯ m	목끔
목다리	m o̞ k̚ t͈ a̠ ɾ i	목따리
목마름	m o̞ ŋ m a̠ ɾ ɯ m	몽마름
목말	m o̞ ŋ m a̠ ɭ	몽말
목면	m o̞ ŋ m j ʌ̹ n	몽면
목욕실	m o̞ ɡ j o k ɕ͈ i ɭ	모굑씰
목욕하다	m o̞ ɡ j o kʰ a̠ d a̠	모교카다
목자	m o̞ k̚ t͡ɕ͈ a̠	목짜
목적론	m o̞ k̚ t͡ɕ͈ ʌ̹ ŋ n o̞ n	목쩡논
목적어	m o̞ k̚ t͡ɕ͈ ʌ̹ ɡ ʌ̹	목쩌거
목조	m o̞ k̚ t͡ɕ͈ o̞	목쪼
목축	m o̞ k̚ t͡ɕʰ u k̚	목축
목침	m o̞ k̚ t͡ɕʰ i m	목침
목탄	m o̞ k̚ tʰ a̠ n	목탄
목통	m o̞ k̚ tʰ o̞ ŋ	목통
목포	m o̞ k̚ pʰ o̞	목포
목피	m o̞ k̚ pʰ i	목피
몫	m o̞ k̚	목
몬타나	m o̞ n tʰ a̠ n a̠	몬타나
몰	m o̞ ɭ	몰
몰다비아	m o̞ ɭ d a̠ b i a̠	몰다비아
몰락	m o̞ ɭ ɭ a̠ k̚	몰락
몰르다	m o̞ ɭ ɭ ɯ d a̠	몰르다
몰리다	m o̞ ʎ ʎ i d a̠	몰리다
몰리브데넘	m o̞ ʎ ʎ i b ɯ d e̞ n ʌ̹ m	몰리브데넘
몰약	m o̞ ɾ j a̠ k̚	모략
몰염치하다	m o̞ ɾ j ʌ̹ m t͡ɕʰ i ɦ a̠ d a̠	모렴치하다
몸	m o̞ m	몸
몸가짐	m o̞ m ɡ a̠ d͡ʑ i m	몸가짐
몸무게	m o̞ m m u ɡ e̞	몸무게
몸비누	m o̞ m b i n u	몸비누
몸빛깔	m o̞ m p͈ i t̚ k͈ a̠ ɭ	몸삗깔
몸집	m o̞ m t͡ɕ͈ i p̚	몸찝
못	m o̞ t̚	몯
못되다	m o̞ t̚ t͈ w e̞ d a̠	몯뙤다
못뽑이	m o̞ t̚ p͈ o̞ b i	몯뽀비
몽	m o̞ ŋ	몽
몽고메리	m o̞ ŋ ɡ o̞ m e̞ ɾ i	몽고메리
몽골반	m o̞ ŋ ɡ o̞ ɭ b a̠ n	몽골반
몽롱	m o̞ ŋ n o̞ ŋ	몽농
몽롱하다	m o̞ ŋ n o̞ ŋ ɦ a̠ d a̠	몽농하다
몽시리	m o̞ː ŋ ɕʰ i ɾ i	몽시리
뫼	m w e̞ː	뫼
뫼다	m w e̞ː d a̠	뫼다
묏자리	m w e̞ t̚ t͡ɕ͈ a̠ ɾ i	묃짜리
묘	m j oː	묘
묘약	m j oː j a̠ k̚	묘약
묘연	m j o j ʌ̹ n	묘연
묘연하다	m j o j ʌ̹ n ɦ a̠ d a̠	묘연하다
묘원	m j oː w ʌ̹ n	묘원
묘향산	m j oː ʝ a̠ ŋ sʰ a̠ n	묘항산
묘호	m j o β o̞	묘호
묠니르	m j o ʎ ʎ i ɾ ɯ	묠리르
무	m u	무
무교병	m u ɡ j o b j ʌ̹ ŋ	무교병
무기	m u ɡ i	무기
무꾸	m u k͈ u	무꾸
무끼	m u k͈ i	무끼
무녀	m uː ɲ ʌ̹	무너
무능력자	m u n ɯ ŋ ɲ ʌ̹ k̚ t͡ɕ͈ a̠	무능넉짜
무늬망둑	m u n i m a̠ ŋ d u k̚	무니망둑
무단	m u d a̠ n	무단
무두붉나무	m u d u b u ŋ n a̠ m u	무두붕나무
무력하다	m u ɾ j ʌ̹ kʰ a̠ d a̠	무려카다
무릎께	m u ɾ ɯ p̚ k͈ e̞	무릅께
무분별하다	m u b u n b j ʌ̹ ɾ ɦ a̠ d a̠	무분별하다
무사	m u sʰ a̠	무사
무사도	m uː sʰ a̠ d o̞	무사도
무산쇠족제비	m uː sʰ a̠ n sʰ w e̞ d͡ʑ o̞ k̚ t͡ɕ͈ e̞ b i	무산쇠족쩨비
무서워하다	m u sʰ ʌ̹ w ʌ̹ ɦ a̠ d a̠	무서워하다
무선호출기	m u sʰ ʌ̹ n β o̞ t͡ɕʰ u ɭ ɡ i	무선호출기
무수	m u sʰ u	무수
무수히	m u sʰ u ʝ i	무수히
무시	m u ɕʰ i	무시
무신	m u ɕʰ i n	무신
무신론자	m u ɕʰ i ɭ ɭ o̞ ɲ d͡ʑ a̠	무실론자
무쌍하다	m u s͈ a̠ ŋ ɦ a̠ d a̠	무쌍하다
무아	m u a̠	무아
무엇이든	m u ʌ̹ ɕʰ i d ɯ n	무어시든
무엇하다	m u ʌ̹ tʰ a̠ d a̠	무어타다
무용	m u j o ŋ	무용
무우	m u u	무우
무유	m u j u	무유
무익하다	m u i kʰ a̠ d a̠	무이카다
무인항공기	m u i n ɦ a̠ ŋ ɡ o̞ ŋ ɡ i	무인항공기
무작위	m u d͡ʑ a̠ ɡ ɥ i	무자귀
무정부	m u d͡ʑ ʌ̹ ŋ b u	무정부
무차별	m u t͡ɕʰ a̠ b j ʌ̹ ɭ	무차별
무투	m u tʰ u	무투
무화과나무	m u β w a̠ ɡ w a̠ n a̠ m u	무화과나무
무효하다	m u ʝ o ɦ a̠ d a̠	무효하다
묵	m u k̚	묵
묵고	m u k̚ k͈ o̞	묵꼬
묵납자루	m u ŋ n a̠ p̚ t͡ɕ͈ a̠ ɾ u	뭉납짜루
묵념	m u ŋ ɲ ʌ̹ m	뭉넘
묵다	m u k̚ t͈ a̠	묵따
묵살	m u k s͈ a̠ ɭ	묵쌀
묵인	m u ɡ i n	무긴
묵주	m u k̚ t͡ɕ͈ u	묵쭈
묶다	m u k̚ t͈ a̠	묵따
문	m u n	문
문경	m u n ɡ j ʌ̹ ŋ	문경
문답	m uː n d a̠ p̚	문답
문도	m u n d o̞	문도
문둥이박쥐	m u n d u ŋ i b a̠ k̚ t͡ɕ͈ ɥ i	문둥이박쮜
문드러지다	m u n d ɯ ɾ ʌ̹ d͡ʑ i d a̠	문드러지다
문묘	m u n m j o	문묘
문선	m u n sʰ ʌ̹ n	문선
문손잡이	m u n sʰ o̞ ɲ d͡ʑ a̠ b i	문손자비
문외한	m u n w e̞ ɦ a̠ n	무뇌한
문자반	m u ɲ t͡ɕ͈ a̠ b a̠ n	문짜반
문절망둑	m u ɲ d͡ʑ ʌ̹ ɭ m a̠ ŋ d u k̚	문절망둑
문지르다	m u ɲ d͡ʑ i ɾ ɯ d a̠	문지르다
문지방	m u ɲ t͡ɕ͈ i b a̠ ŋ	문찌방
문집	m u ɲ d͡ʑ i p̚	문집
문찐	m u ɲ t͡ɕ͈ i n	문찐
문천	m u ɲ t͡ɕʰ ʌ̹ n	문천
묻다	m u t̚ t͈ a̠	묻따
물	m u ɭ	물
물고기떡	m u ɭ ɡ o̞ ɡ i t͈ ʌ̹ k̚	물고기떡
물공원	m u ɭ ɡ o̞ ŋ w ʌ̹ n	물공원
물굽이	m u ɭ ɡ u b i	물구비
물꿩	m u ɭ k͈ w ʌ̹ ŋ	물꿩
물다	m u ɭ d a̠	물다
물두꺼비	m u ɭ d u k͈ ʌ̹ b i	물두꺼비
물똥	m u ɭ t͈ o̞ ŋ	물똥
물레나물	m u ɭ ɭ e̞ n a̠ m u ɭ	물레나물
물려받다	m u ʎ ʎ ʌ̹ b a̠ t̚ t͈ a̠	물러받따
물론입니다	m u ɭ ɭ o̞ n i m n i d a̠	물로님니다
물리치다	m u ʎ ʎ i t͡ɕʰ i d a̠	물리치다
물메기	m u ɭ m e̞ ɡ i	물메기
물박달나무	m u ɭ b a̠ k̚ t͈ a̠ ɭ ɭ a̠ m u	물박딸라무
물씨	m u ɭ ɕ͈ i	물씨
물어떼다	m u ɾ ʌ̹ t͈ e̞ d a̠	무러떼다
물에네르기	m u ɾ e̞ n e̞ ɾ ɯ ɡ i	무레네르기
물엿	m u ɾ j ʌ̹ t̚	무렫
물외	m u ɾ w e̞	무뢰
물음표	m u ɾ ɯ m pʰ j o	무름표
물자체	m u ʎ d͡ʑ a̠ t͡ɕʰ e̞	물자체
물타기	m u ɭ tʰ a̠ ɡ i	물타기
물텀벙이	m u ɭ tʰ ʌ̹ m b ʌ̹ ŋ i	물텀벙이
물품	m u ɭ pʰ u m	물품
뭉클하다	m u ŋ k x ɯ ɾ ɦ a̠ d a̠	뭉클하다
뭍	m u t̚	묻
뮈슬리	m ɥ i sʰ ɯ ʎ ʎ i	뮈슬리
뮤직	m j u d͡ʑ i k̚	뮤직
미	m i	미
미강유	m i ɡ a̠ ŋ j u	미강유
미국화	m i ɡ u kʰ w a̠	미구콰
미국화하다	m i ɡ u kʰ w a̠ ɦ a̠ d a̠	미구콰하다
미궁	m iː ɡ u ŋ	미궁
미기후	m i ɡ i β u	미기후
미꾸리	m i k͈ u ɾ i	미꾸리
미끄러지다	m i k͈ ɯ ɾ ʌ̹ d͡ʑ i d a̠	미끄러지다
미끄럼	m i k͈ ɯ ɾ ʌ̹ m	미끄럼
미끈망둑	m i k͈ ɯ n m a̠ ŋ d u k̚	미끈망둑
미끼샤	m i k͈ i ɕʰ a̠	미끼사
미네소타	m i n e̞ sʰ o̞ tʰ a̠	미네소타
미다	m iː d a̠	미다
미닫이문	m iː d a̠ d͡ʑ i m u n	미다지문
미동	m i d o̞ ŋ	미동
미드	m i d ɯ	미드
미러	m i ɾ ʌ̹	미러
미뢰	m i ɾ w e̞	미뢰
미류	m i ɾ j u	미류
미류하다	m i ɾ j u ɦ a̠ d a̠	미류하다
미륵보살	m i ɾ ɯ k̚ p͈ o̞ sʰ a̠ ɭ	미륵뽀살
미리견	m i ɾ i ɡ j ʌ̹ n	미리견
미미	m i m i	미미
미미하다	m i m i ɦ a̠ d a̠	미미하다
미분몫	m i b u n m o̞ k̚	미분목
미분법	m i b u n p͈ ʌ̹ p̚	미분뻡
미섭다	m i sʰ ʌ̹ p̚ t͈ a̠	미섭따
미성년	m i sʰ ʌ̹ ŋ ɲ ʌ̹ n	미성넌
미성년자	m iː sʰ ʌ̹ ŋ ɲ ʌ̹ ɲ d͡ʑ a̠	미성넌자
미시간	m i ɕʰ i ɡ a̠ n	미시간
미시건	m i ɕʰ i ɡ ʌ̹ n	미시건
미시사가	m i ɕ͈ i sʰ a̠ ɡ a̠	미씨사가
미시소가	m i ɕ͈ i sʰ o̞ ɡ a̠	미씨소가
미시소거	m i ɕ͈ i sʰ o̞ ɡ ʌ̹	미씨소거
미시시피	m i ɕ͈ i ɕʰ i pʰ i	미씨시피
미식축구	m i ɕʰ i k̚ t͡ɕʰ u k̚ k͈ u	미식축꾸
미싱	m i ɕʰ i ŋ	미싱
미싸일	m i s͈ a̠ i ɭ	미싸일
미어터지다	m i ʌ̹ tʰ ʌ̹ d͡ʑ i d a̠	미어터지다
미우	m i u	미우
미워하다	m i w ʌ̹ ɦ a̠ d a̠	미워하다
미융모	m i j u ŋ m o̞	미융모
미인계	m iː i n ɡ j e̞	미인계
미적	m i d͡ʑ ʌ̹ k̚	미적
미제	m i d͡ʑ e̞	미제
미주리	m i d͡ʑ u ɾ i	미주리
미친놈	m i t͡ɕʰ i n n o̞ m	미친놈
미크로네시아	m i k x ɯ ɾ o̞ n e̞ ɕʰ i a̠	미크로네시아
미투리	m i tʰ u ɾ i	미투리
미화	m i β w a̠	미화
미확인	m iː β w a̠ ɡ i n	미화긴
미흡하다	m iː ɣ ɯ pʰ a̠ d a̠	미흐파다
민	m i n	민
민가	m i n ɡ a̠	민가
민망초	m i n m a̠ ŋ t͡ɕʰ o̞	민망초
민물가마우지	m i n m u ɭ ɡ a̠ m a̠ u d͡ʑ i	민물가마우지
민물검정망둑	m i n m u ɭ ɡ ʌ̹ m d͡ʑ ʌ̹ ŋ m a̠ ŋ d u k̚	민물검정망둑
민사	m i n sʰ a̠	민사
민수기	m i n sʰ u ɡ i	민수기
민스크	m i n sʰ ɯ k x ɯ	민스크
민영화	m i ɲ ʌ̹ ŋ β w a̠	미넝화
민영화하다	m i ɲ ʌ̹ ŋ β w a̠ ɦ a̠ d a̠	미넝화하다
민주사회주의	m i ɲ d͡ʑ u sʰ a̠ β w e̞ d͡ʑ u ɰ i	민주사회주의
민주적	m i ɲ d͡ʑ u d͡ʑ ʌ̹ k̚	민주적
민주주의자	m i ɲ d͡ʑ u d͡ʑ u ɰ i d͡ʑ a̠	민주주의자
민폐	m i n pʰ j e̞	민폐
밀	m i ɭ	밀
밀감	m i ɭ ɡ a̠ m	밀감
밀당	m i ɭ t͈ a̠ ŋ	밀땅
밀덕	m i ɭ d ʌ̹ k̚	밀덕
밀물	m i ɭ m u ɭ	밀물
밀접하다	m i ʎ t͡ɕ͈ ʌ̹ pʰ a̠ d a̠	밀쩌파다
밀집되다	m i ʎ d͡ʑ i p̚ t͈ w e̞ d a̠	밀집뙤다
밀집하다	m i ʎ d͡ʑ i pʰ a̠ d a̠	밀지파다
밀회	m i ɾ β w e̞	밀회
밈	m i m	밈
밋밋하다	m i n m i tʰ a̠ d a̠	민미타다
및	m i t̚	믿
밑	m i t̚	믿
밑줄	m i t̚ t͡ɕ͈ u ɭ	믿쭐
밑지다	m i t̚ t͡ɕ͈ i d a̠	믿찌다
바	p a̠	바
바꼬락	p a̠ k͈ o̞ ɾ a̠ k̚	바꼬락
바꾸이다	p a̠ k͈ u i d a̠	바꾸이다
바냐	p a̠ ɲ a̠	바나
바늘꼬리도요	p a̠ n ɯ ɭ k͈ o̞ ɾ i d o̞ j o	바늘꼬리도요
바다꿩	p a̠ d a̠ k͈ w ʌ̹ ŋ	바다꿩
바다말	p a̠ d a̠ m a̠ ɭ	바다말
바다제비	p a̠ d a̠ d͡ʑ e̞ b i	바다제비
바닷길	p a̠ d a̠ t̚ k͈ i ɭ	바닫낄
바닷물고기	p a̠ d a̠ n m u ɭ ɡ o̞ ɡ i	바단물고기
바당	p a̠ d a̠ ŋ	바당
바두쯔	p a̠ d u t͡ɕ͈ ɯ	바두쯔
바듯하다	p a̠ d ɯ tʰ a̠ d a̠	바드타다
바른	p a̠ ɾ ɯ n	바른
바름감	p a̠ ɾ ɯ m ɡ a̠ m	바름감
바보스럽다	p a̠ː b o̞ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠	바보스럽따
바사삭	p a̠ sʰ a̠ sʰ a̠ k̚	바사삭
바삭	p a̠ sʰ a̠ k̚	바삭
바삭과자	p a̠ sʰ a̠ k̚ k͈ w a̠ d͡ʑ a̠	바삭꽈자
바삭바삭	p a̠ sʰ a̠ k̚ p͈ a̠ sʰ a̠ k̚	바삭빠삭
바삭바삭하다	p a̠ sʰ a̠ k̚ p͈ a̠ sʰ a̠ kʰ a̠ d a̠	바삭빠사카다
바스락	p a̠ sʰ ɯ ɾ a̠ k̚	바스락
바스스카프	p a̠ sʰ ɯ sʰ ɯ kʰ a̠ pʰ ɯ	바스스카프
바스테르	p a̠ sʰ ɯ tʰ e̞ ɾ ɯ	바스테르
바슬바슬	p a̠ sʰ ɯ ɭ b a̠ sʰ ɯ ɭ	바슬바슬
바우	p a̠ u	바우
바위담비	p a̠ ɥ i d a̠ m b i	바위담비
바위비둘기	p a̠ ɥ i b i d u ɭ ɡ i	바위비둘기
바이오폴리머	p a̠ i o̞ pʰ o̞ ʎ ʎ i m ʌ̹	바이오폴리머
바자르	p a̠ d͡ʑ a̠ ɾ ɯ	바자르
바장조	p a̠ d͡ʑ a̠ ŋ d͡ʑ o̞	바장조
바치다	p a̠ t͡ɕʰ i d a̠	바치다
바코드	p a̠ kʰ o̞ d ɯ	바코드
바퀴살	p a̠ kʰ ɥ i sʰ a̠ ɭ	바퀴살
박	p a̠ k̚	박
박ㄹ혜	p a̠ k̚ k͈ ɯ n ʝ e̞	박끈헤
박다	p a̠ k̚ t͈ a̠	박따
박달나무	p a̠ k̚ t͈ a̠ ɭ ɭ a̠ m u	박딸라무
박멸	p a̠ ŋ m j ʌ̹ ɭ	방멸
박명	p a̠ ŋ m j ʌ̹ ŋ	방명
박수하다	p a̠ k s͈ u ɦ a̠ d a̠	박쑤하다
박엽지	p a̠ ɡ j ʌ̹ p̚ t͡ɕ͈ i	바겹찌
박자	p a̠ k̚ t͡ɕ͈ a̠	박짜
밖	p a̠ k̚	박
반	p a̠ n	반
반가	p a̠ː n k͈ a̠	반까
반감	p a̠ n ɡ a̠ m	반감
반값	p a̠ n k͈ a̠ p̚	반깝
반격	p a̠ː n ɡ j ʌ̹ k̚	반격
반공일	p a̠ː n ɡ o̞ ŋ i ɭ	반공일
반기다	p a̠ n ɡ i d a̠	반기다
반다르세리베가완	p a̠ n d a̠ ɾ ɯ sʰ e̞ ɾ i b e̞ ɡ a̠ w a̠ n	반다르세리베가완
반달	p a̠ n d a̠ ɭ	반달
반달가슴곰	p a̠ː n d a̠ ɭ ɡ a̠ sʰ ɯ m ɡ o̞ m	반달가슴곰
반달리즘	p a̠ n d a̠ ʎ ʎ i d͡ʑ ɯ m	반달리즘
반동분자	p a̠ː n d o̞ ŋ b u ɲ d͡ʑ a̠	반동분자
반려견	p a̠ː ʎ ʎ ʌ̹ ɡ j ʌ̹ n	발러견
