ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
루저	ɾ u d͡ʑ ʌ̹	루저
루카	ɾ u kʰ a̠	루카
루테늄	ɾ u tʰ e̞ ɲ j u m	루테늄
루테튬	ɾ u tʰ e̞ tʰ j u m	루테튬
루프	ɾ u pʰ ɯ	루프
룩셈부르크	ɾ u k s͈ e̞ m b u ɾ ɯ k x ɯ	룩쎔부륵흐
룰렛	ɾ u ɭ ɭ e̞ t̚	룰렏
류월	ɾ j u w ʌ̹ ɭ	류월
륙지	ɾ j u k̚ t͡ɕ͈ i	륙찌
르네상스	ɾ ɯ n e̞ sʰ a̠ ŋ sʰ ɯ	르네상스
르완다	ɾ ɯ w a̠ n d a̠	르완다
리가	ɾ i ɡ a̠	리가
리그	ɾ i ɡ ɯ	리그
리눅스	ɾ i n u k s͈ ɯ	리눅쓰
리듬	ɾ i d ɯ m	리듬
리모컨	ɾ i m o̞ kʰ ʌ̹ n	리모컨
리무진	ɾ i m u d͡ʑ i n	리무진
리믹스	ɾ i m i k s͈ ɯ	리믹쓰
리버모륨	ɾ i b ʌ̹ m o̞ ɾ j u m	리버모륨
리비아	ɾ i b i a̠	리비아
리셉션	ɾ i s͈ e̞ p ɕ͈ ʌ̹ n	리쎕썬
리스본	ɾ i sʰ ɯ b o̞ n	리스본
리야드	ɾ i j a̠ d ɯ	리야드
리어카	ɾ i ʌ̹ kʰ a̠	리어카
리얼	ɾ i ʌ̹ ɭ	리얼
리옹	ɾ i o̞ ŋ	리옹
리왕조	ɾ i w a̠ ŋ d͡ʑ o̞	리왕조
리우데자네이루	ɾ i u d e̞ d͡ʑ a̠ n e̞ i ɾ u	리우데자네이루
리원	ɾ i w ʌ̹ n	리원
리터	ɾ i tʰ ʌ̹	리터
리투아니아	ɾ i tʰ u a̠ n i a̠	리투아니아
리튬	ɾ i tʰ j u m	리튬
리포트	ɾ i pʰ o̞ tʰ ɯ	리포트
리히텐슈타인	ɾ i ʝ i tʰ e̞ n ɕʰ u tʰ a̠ i n	리히텐수타인
린스	ɾ i n s͈ ɯ	린쓰
릴리스	ɾ i ʎ ʎ i sʰ ɯ	릴리스
립스틱	ɾ i p s͈ ɯ tʰ i k̚	립쓰틱
링귀네	ɾ i ŋ ɡ ɥ i n e̞	링귀네
링크	ɾ i ŋ k x ɯ	링ㄱ흐
마구	m a̠ ɡ u	마구
마구간	m a̠ː ɡ u k͈ a̠ n	마구깐
마귀	m a̠ ɡ ɥ i	마귀
마나과	m a̠ n a̠ ɡ w a̠	마나과
마나마	m a̠ n a̠ m a̠	마나마
마녀	m a̠ ɲ j ʌ̹	마녀
마누라	m a̠ n u ɾ a̠	마누라
마늘	m a̠ n ɯ ɭ	마늘
마니	m a̠ n i	마니
마닐라	m a̠ n i ɭ ɭ a̠	마닐라
마다	m a̠ d a̠	마다
마다가스카르	m a̠ d a̠ ɡ a̠ sʰ ɯ kʰ a̠ ɾ ɯ	마다가스카르
마달	m a̠ d a̠ ɭ	마달
마더	m a̠ d ʌ̹	마더
마드리드	m a̠ d ɯ ɾ i d ɯ	마드리드
마땅하다	m a̠ t͈ a̠ ŋ ɦ a̠ d a̠	마땅하다
마라톤	m a̠ ɾ a̠ tʰ o̞ n	마라톤
마력	m a̠ː ɾ j ʌ̹ k̚	마력
마련	m a̠ ɾ j ʌ̹ n	마련
마련하다	m a̠ ɾ j ʌ̹ n ɦ a̠ d a̠	마련하다
마루	m a̠ ɾ u	마루
마르멜로	m a̠ ɾ ɯ m e̞ ɭ ɭ o̞	마르멜로
마르스	m a̠ ɾ ɯ sʰ ɯ	마르스
마르코	m a̠ ɾ ɯ kʰ o̞	마르코
마르크스주의	m a̠ ɾ ɯ k x ɯ sʰ ɯ d͡ʑ u ɰ i	마륵흐스주의
마르티니크	m a̠ ɾ ɯ tʰ i n i k x ɯ	마르티닉흐
마름모	m a̠ ɾ ɯ m m o̞	마름모
마리	m a̠ ɾ i	마리
마마	m a̠ː m a̠	마마
마무르다	m a̠ m u ɾ ɯ d a̠	마무르다
마무리	m a̠ m u ɾ i	마무리
마법	m a̠ b ʌ̹ p̚	마법
마법사	m a̠ b ʌ̹ p s͈ a̠	마법싸
마사지	m a̠ sʰ a̠ d͡ʑ i	마사지
마소	m a̠ sʰ o̞	마소
마술	m a̠ sʰ u ɭ	마술
마술사	m a̠ sʰ u ɭ s͈ a̠	마술싸
마스다	m a̠ sʰ ɯ d a̠	마스다
마스크	m a̠ sʰ ɯ k x ɯ	마슥흐
마스터베이션	m a̠ sʰ ɯ tʰ ʌ̹ b e̞ i ɕʰ ʌ̹ n	마스터베이선
마시다	m a̠ ɕʰ i d a̠	마시다
마약	m a̠ j a̠ k̚	마약
마우스	m a̠ u s͈ ɯ	마우쓰
마유	m a̠ː j u	마유
마을	m a̠ ɯ ɭ	마을
마을버스	m a̠ ɯ ɭ b ʌ̹ sʰ ɯ	마을버스
마음	m a̠ ɯ m	마음
마음속	m a̠ ɯ m s͈ o̞ k̚	마음쏙
마음씨	m a̠ ɯ m ɕ͈ i	마음씨
마이너스	m a̠ i n ʌ̹ s͈ ɯ	마이너쓰
마이웨이	m a̠ i w e̞ i	마이웨이
마이크	m a̠ i k x ɯ	마익흐
마이크로소프트	m a̠ i k x ɯ ɾ o̞ sʰ o̞ pʰ ɯ tʰ ɯ	마익흐로소프트
마이크로파	m a̠ i k x ɯ ɾ o̞ pʰ a̠	마익흐로파
마일	m a̠ i ɭ	마일
마작	m a̠ː d͡ʑ a̠ k̚	마작
마주	m a̠ d͡ʑ u	마주
마중	m a̠ d͡ʑ u ŋ	마중
마지막	m a̠ d͡ʑ i m a̠ k̚	마지막
마차	m a̠ː t͡ɕʰ a̠	마차
마찬가지	m a̠ t͡ɕʰ a̠ n ɡ a̠ d͡ʑ i	마찬가지
마찰	m a̠ t͡ɕʰ a̠ ɭ	마찰
마천루	m a̠ t͡ɕʰ ʌ̹ ɭ ɭ u	마철루
마취	m a̠ t͡ɕʰ ɥ i	마취
마침	m a̠ t͡ɕʰ i m	마침
마카로니	m a̠ kʰ a̠ ɾ o̞ n i	마카로니
마케도니아	m a̠ kʰ e̞ d o̞ n i a̠	마케도니아
마케팅	m a̠ kʰ e̞ tʰ i ŋ	마케팅
마켓	m a̠ kʰ e̞ t̚	마켇
마트	m a̠ tʰ ɯ	마트
마트료시카	m a̠ tʰ ɯ ɾ j o ɕʰ i kʰ a̠	마트료시카
마팔디네	m a̠ pʰ a̠ ɭ d i n e̞	마팔디네
마푸토	m a̠ pʰ u tʰ o̞	마푸토
마피아	m a̠ pʰ i a̠	마피아
마흐디	m a̠ ɣ ɯ d i	마ɣㅡ디
마흔	m a̠ ɣ ɯ n	마ɣㅡㄴ
막다	m a̠ k̚ t͈ a̠	막따
막다르다	m a̠ k̚ t͈ a̠ ɾ ɯ d a̠	막따르다
막바지	m a̠ k̚ p͈ a̠ d͡ʑ i	막빠지
막차	m a̠ k̚ t͡ɕʰ a̠	막차
만나기	m a̠ n n a̠ ɡ i	만나기
만나다	m a̠ n n a̠ d a̠	만나다
만날	m a̠ː n n a̠ ɭ	만날
만남	m a̠ n n a̠ m	만남
만년	m a̠ː n ɲ j ʌ̹ n	만년
만년필	m a̠ː n ɲ j ʌ̹ n pʰ i ɭ	만년필
만능	m a̠ː n n ɯ ŋ	만능
만들다	m a̠ n d ɯ ɭ d a̠	만들다
만리장성	m a̠ː ʎ ʎ i d͡ʑ a̠ ŋ sʰ ʌ̹ ŋ	말리장성
만물	m a̠ː n m u ɭ	만물
만성	m a̠ n sʰ ʌ̹ ŋ	만성
만약	m a̠ː ɲ j a̠ k̚	마냑
만유	m a̠ː ɲ j u	마뉴
만유인력	m a̠ː ɲ j u i ʎ ʎ j ʌ̹ k̚	마뉴일력
만일	m a̠ː n i ɭ	마닐
만족	m a̠ ɲ d͡ʑ o̞ k̚	만족
만주	m a̠ ɲ d͡ʑ u	만주
만주국	m a̠ ɲ d͡ʑ u ɡ u k̚	만주국
만지다	m a̠ ɲ d͡ʑ i d a̠	만지다
만큼	m a̠ n k x ɯ m	만ㄱ흠
만하다	m a̠ n ɦ a̠ d a̠	만하다
만화	m a̠ː n β w a̠	만화
많은	m a̠ː n ɯ n	마는
많이	m a̠ː n i	마니
맏아들	m a̠ d a̠ d ɯ ɭ	마다들
맏이	m a̠ d͡ʑ i	마지
맏형	m a̠ tʰ j ʌ̹ ŋ	마텽
말고기	m a̠ ɭ ɡ o̞ ɡ i	말고기
말기	m a̠ ɭ ɡ i	말기
말다툼	m a̠ː ɭ d a̠ tʰ u m	말다툼
말뚝	m a̠ ɭ t͈ u k̚	말뚝
말라보	m a̠ ɭ ɭ a̠ b o̞	말라보
말라위	m a̠ ɭ ɭ a̠ ɥ i	말라위
말레	m a̠ ɭ ɭ e̞	말레
말레이시아	m a̠ ɭ ɭ e̞ i ɕʰ i a̠	말레이시아
말레이어	m a̠ ɭ ɭ e̞ i ʌ̹	말레이어
말리	m a̠ ʎ ʎ i	말리
말미	m a̠ ɭ m i	말미
말벌	m a̠ ɭ b ʌ̹ ɭ	말벌
말살하다	m a̠ ɭ s͈ a̠ ɾ ɦ a̠ d a̠	말쌀하다
말솜씨	m a̠ː ɭ s͈ o̞ m ɕ͈ i	말쏨씨
말썽꾸러기	m a̠ː ɭ s͈ ʌ̹ ŋ k͈ u ɾ ʌ̹ ɡ i	말썽꾸러기
말씀	m a̠ː ɭ s͈ ɯ m	말씀
말하다	m a̠ː ɾ ɦ a̠ d a̠	말하다
맑다	m a̠ k̚ t͈ a̠	막따
맑스주의	m a̠ k s͈ ɯ d͡ʑ u ɰ i	막쓰주의
맛있다	m a̠ ɕʰ i t̚ t͈ a̠	마싣따
망간	m a̠ ŋ ɡ a̠ n	망간
망고	m a̠ ŋ ɡ o̞	망고
망둑	m a̠ ŋ d u k̚	망둑
망령	m a̠ ŋ ɲ j ʌ̹ ŋ	망녕
망막	m a̠ ŋ m a̠ k̚	망막
망상	m a̠ ŋ sʰ a̠ ŋ	망상
망설이다	m a̠ ŋ sʰ ʌ̹ ɾ i d a̠	망서리다
망시민	m a̠ ŋ ɕʰ i m i n	망시민
망치	m a̠ ŋ t͡ɕʰ i	망치
망치다	m a̠ ŋ t͡ɕʰ i d a̠	망치다
망토	m a̠ ŋ tʰ o̞	망토
맞벌이	m a̠ t̚ p͈ ʌ̹ ɾ i	맏뻐리
맞부딪치다	m a̠ t̚ p͈ u d i t̚ t͡ɕʰ i d a̠	맏뿌딛치다
맞이	m a̠ d͡ʑ i	마지
맞추다	m a̠ t̚ t͡ɕʰ u d a̠	맏추다
맞춤	m a̠ t̚ t͡ɕʰ u m	맏춤
맞흥정	m a̠ tʰ ɯ ŋ d͡ʑ ʌ̹ ŋ	마틍정
맡다	m a̠ t̚ t͈ a̠	맏따
매국노	m ɛː ɡ u ŋ n o̞	매궁노
매년	m ɛː ɲ j ʌ̹ n	매년
매달리다	m ɛː d a̠ ʎ ʎ i d a̠	매달리다
매미	m ɛː m i	매미
매월	m ɛː w ʌ̹ ɭ	매월
매일	m ɛː i ɭ	매일
매장	m ɛː d͡ʑ a̠ ŋ	매장
매점	m ɛː d͡ʑ ʌ̹ m	매점
매주	m ɛː d͡ʑ u	매주
매춘부	m ɛː t͡ɕʰ u n b u	매춘부
매출	m ɛː t͡ɕʰ u ɭ	매출
매표구	m ɛː pʰ j o ɡ u	매표구
맨날	m ɛː n n a̠ ɭ	맨날
맹세	m ɛː ŋ sʰ e̞	맹세
맹인	m ɛː ŋ i n	매인
맹자	m ɛː ŋ d͡ʑ a̠	맹자
먄마	m j a̠ n m a̠	먄마
머구리	m ʌ̹ ɡ u ɾ i	머구리
머그잔	m ʌ̹ ɡ ɯ d͡ʑ a̠ n	머그잔
머리	m ʌ̹ ɾ i	머리
머리띠	m ʌ̹ ɾ i t͈ i	머리띠
머리카락	m ʌ̹ ɾ i kʰ a̠ ɾ a̠ k̚	머리카락
머리칼	m ʌ̹ ɾ i kʰ a̠ ɭ	머리칼
머리털	m ʌ̹ ɾ i tʰ ʌ̹ ɭ	머리털
머리통	m ʌ̹ ɾ i tʰ o̞ ŋ	머리통
머무르다	m ʌ̹ m u ɾ ɯ d a̠	머무르다
머물다	m ʌ̹ m u ɭ d a̠	머물다
머뭇거리다	m ʌ̹ m u t̚ k͈ ʌ̹ ɾ i d a̠	머묻꺼리다
머슴	m ʌ̹ sʰ ɯ m	머슴
머시마	m ʌ̹ ɕʰ i m a̠	머시마
머핀	m ʌ̹ pʰ i n	머핀
먹다	m ʌ̹ k̚ t͈ a̠	먹따
먹물	m ʌ̹ ŋ m u ɭ	멍물
먹이	m ʌ̹ ɡ i	머기
먹이다	m ʌ̹ ɡ i d a̠	머기다
먼저	m ʌ̹ ɲ d͡ʑ ʌ̹	먼저
먼지	m ʌ̹ ɲ d͡ʑ i	먼지
멀다	m ɘː ɭ d a̠	멀다
멀리	m ɘː ʎ ʎ i	멀리
멀미	m ʌ̹ ɭ m i	멀미
멀어지다	m ɘː ɾ ʌ̹ d͡ʑ i d a̠	머러지다
멀쩡	m ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ	멀쩡
멀쩡하다	m ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠	멀쩡하다
멀찌감치	m ʌ̹ ʎ t͡ɕ͈ i ɡ a̠ m t͡ɕʰ i	멀찌감치
멈추다	m ʌ̹ m t͡ɕʰ u d a̠	멈추다
멋없다	m ʌ̹ d ʌ̹ p̚ t͈ a̠	머덥따
멋있다	m ʌ̹ ɕʰ i t̚ t͈ a̠	머싣따
멋지다	m ʌ̹ t̚ t͡ɕ͈ i d a̠	먿찌다
멍에	m ʌ̹ ŋ e̞	머에
멍텅구리	m ʌ̹ ŋ tʰ ʌ̹ ŋ ɡ u ɾ i	멍텅구리
메가나	m e̞ ɡ a̠ n a̠	메가나
메기	m e̞ː ɡ i	메기
메뉴	m e̞ ɲ j u	메뉴
메달	m e̞ d a̠ ɭ	메달
메뚜기	m e̞ t͈ u ɡ i	메뚜기
메모	m e̞ m o̞	메모
메모리	m e̞ m o̞ ɾ i	메모리
메밀	m e̞ m i ɭ	메밀
메서드	m e̞ sʰ ʌ̹ d ɯ	메서드
메소드	m e̞ sʰ o̞ d ɯ	메소드
메시아	m e̞ ɕʰ i a̠	메시아
메이스	m e̞ i sʰ ɯ	메이스
메일	m e̞ i ɭ	메일
메카	m e̞ kʰ a̠	메카
메탄	m e̞ tʰ a̠ n	메탄
메터	m e̞ tʰ ʌ̹	메터
메토끼	m e̞ tʰ o̞ k͈ i	메토끼
멕시코시티	m e̞ k ɕ͈ i kʰ o̞ ɕʰ i tʰ i	멕씨코시티
멜라닌	m e̞ ɭ ɭ a̠ n i n	멜라닌
멜로	m e̞ ɭ ɭ o̞	멜로
멜로드라마	m e̞ ɭ ɭ o̞ d ɯ ɾ a̠ m a̠	멜로드라마
멜론	m e̞ ɭ ɭ o̞ n	멜론
멜버른	m e̞ ɭ b ʌ̹ ɾ ɯ n	멜버른
멧닭	m e̞ t̚ t͈ a̠ k̚	멛딱
며느리	m j ʌ̹ n ɯ ɾ i	며느리
며칠	m j ʌ̹ t͡ɕʰ i ɭ	며칠
멱살	m j ʌ̹ k s͈ a̠ ɭ	멱쌀
면도기	m j ɘː n d o̞ ɡ i	면도기
면도칼	m j ɘː n d o̞ kʰ a̠ ɭ	면도칼
면도하다	m j ɘː n d o̞ ɦ a̠ d a̠	면도하다
면발	m j ʌ̹ n b a̠ ɭ	면발
면서	m j ʌ̹ n sʰ ʌ̹	면서
면세	m j ɘː n sʰ e̞	면세
면역학	m j ɘː ɲ j ʌ̹ kʰ a̠ k̚	며녀칵
면적	m j ɘː ɲ d͡ʑ ʌ̹ k̚	면적
면전	m j ʌ̹ ɲ d͡ʑ ʌ̹ n	면전
면접	m j ɘː ɲ d͡ʑ ʌ̹ p̚	면접
면허증	m j ɘː n ɦ ʌ̹ t͡ɕ͈ ɯ ŋ	면허쯩
멸망	m j ʌ̹ ɭ m a̠ ŋ	멸망
멸종	m j ʌ̹ ʎ t͡ɕ͈ o̞ ŋ	멸쫑
멸치	m j ʌ̹ ʎ t͡ɕʰ i	멸치
명곡	m j ʌ̹ ŋ ɡ o̞ k̚	명곡
명관	m j ʌ̹ ŋ ɡ w a̠ n	명관
명단	m j ʌ̹ ŋ d a̠ n	명단
명동	m j ʌ̹ ŋ d o̞ ŋ	명동
명령하다	m j ɘː ŋ ɲ j ʌ̹ ŋ ɦ a̠ d a̠	명녕하다
명말청초	m j ʌ̹ ŋ m a̠ ʎ t͡ɕʰ ʌ̹ ŋ t͡ɕʰ o̞	명말청초
명부	m j ʌ̹ ŋ b u	명부
명사	m j ʌ̹ ŋ sʰ a̠	명사
명성	m j ʌ̹ ŋ sʰ ʌ̹ ŋ	명성
명소	m j ʌ̹ ŋ sʰ o̞	명소
명예	m j ʌ̹ ŋ j e̞	며예
명왕성	m j ʌ̹ ŋ w a̠ ŋ sʰ ʌ̹ ŋ	며왕성
명의	m j ʌ̹ ŋ ɰ i	며의
명인	m j ʌ̹ ŋ i n	며인
명일	m j ʌ̹ ŋ i ɭ	며일
명절	m j ʌ̹ ŋ d͡ʑ ʌ̹ ɭ	명절
명주	m j ʌ̹ ŋ d͡ʑ u	명주
명중	m j ɘː ŋ d͡ʑ u ŋ	명중
명칭	m j ʌ̹ ŋ t͡ɕʰ i ŋ	명칭
명하다	m j ɘː ŋ ɦ a̠ d a̠	명하다
명함	m j ʌ̹ ŋ ɦ a̠ m	명함
몇몇	m j ʌ̹ n m j ʌ̹ t̚	면멷
모가디슈	m o̞ ɡ a̠ d i ɕʰ u	모가디수
모과	m o̞ː ɡ w a̠	모과
모교	m o̞ː ɡ j o	모교
모국	m o̞ː ɡ u k̚	모국
모금	m o̞ ɡ ɯ m	모금
모나코	m o̞ n a̠ kʰ o̞	모나코
모니터링	m o̞ n i tʰ ʌ̹ ɾ i ŋ	모니터링
모델	m o̞ d e̞ ɭ	모델
모뎀	m o̞ d e̞ m	모뎀
모독	m o̞ː d o̞ k̚	모독
모두	m o̞ d u	모두
모듈	m o̞ d j u ɭ	모듈
모드	m o̞ d ɯ	모드
모든	m o̞ː d ɯ n	모든
모듬	m o̞ d ɯ m	모듬
모란	m o̞ ɾ a̠ n	모란
모란봉	m o̞ ɾ a̠ n b o̞ ŋ	모란봉
모로코	m o̞ ɾ o̞ kʰ o̞	모로코
모루	m o̞ː ɾ u	모루
모르핀	m o̞ ɾ ɯ pʰ i n	모르핀
모리셔스	m o̞ ɾ i ɕʰ ʌ̹ sʰ ɯ	모리서스
모방	m o̞ b a̠ ŋ	모방
모사	m o̞ sʰ a̠	모사
모서리	m o̞ sʰ ʌ̹ ɾ i	모서리
모세혈관	m o̞ sʰ e̞ ʝ j ʌ̹ ɭ ɡ w a̠ n	모세혈관
모순	m o̞ sʰ u n	모순
모스코븀	m o̞ sʰ ɯ kʰ o̞ b j u m	모스코븀
모스크	m o̞ sʰ ɯ k x ɯ	모슥흐
모스크바	m o̞ sʰ ɯ k x ɯ b a̠	모슥흐바
모습	m o̞ sʰ ɯ p̚	모습
모시다	m o̞ː ɕʰ i d a̠	모시다
모양	m o̞ j a̠ ŋ	모양
모어	m o̞ː ʌ̹	모어
모에	m o̞ e̞	모에
모오케	m o̞ o̞ kʰ e̞	모오케
모욕	m o̞ː j o k̚	모욕
모으다	m o̞ ɯ d a̠	모으다
모음	m o̞ː ɯ m	모음
모음조화	m o̞ː ɯ m d͡ʑ o̞ β w a̠	모음조화
모이	m o̞ i	모이
모이다	m o̞ i d a̠	모이다
모임	m o̞ i m	모임
모자라다	m o̞ː d͡ʑ a̠ ɾ a̠ d a̠	모자라다
모잠비크	m o̞ d͡ʑ a̠ m b i k x ɯ	모잠빅흐
모전	m o̞ d͡ʑ ʌ̹ n	모전
모조리	m o̞ d͡ʑ o̞ ɾ i	모조리
모처럼	m o̞ t͡ɕʰ ʌ̹ ɾ ʌ̹ m	모처럼
모터보트	m o̞ tʰ ʌ̹ b o̞ tʰ ɯ	모터보트
모텔	m o̞ tʰ e̞ ɭ	모텔
모토	m o̞ tʰ o̞	모토
모퉁이	m o̞ tʰ u ŋ i	모투이
모피	m o̞ pʰ i	모피
모험	m o̞ː ɦ ʌ̹ m	모험
모형	m o̞ ʝ j ʌ̹ ŋ	모형
모호하다	m o̞ β o̞ ɦ a̠ d a̠	모호하다
목격자	m o̞ k̚ k͈ j ʌ̹ k̚ t͡ɕ͈ a̠	목껵짜
목구멍	m o̞ k̚ k͈ u m ʌ̹ ŋ	목꾸멍
목란	m o̞ ŋ n a̠ n	몽난
목련	m o̞ ŋ ɲ j ʌ̹ n	몽년
목마	m o̞ ŋ m a̠	몽마
목마르다	m o̞ ŋ m a̠ ɾ ɯ d a̠	몽마르다
목발	m o̞ k̚ p͈ a̠ ɭ	목빨
목사	m o̞ k s͈ a̠	목싸
목사님	m o̞ k s͈ a̠ n i m	목싸님
목석	m o̞ k s͈ ʌ̹ k̚	목썩
목수	m o̞ k s͈ u	목쑤
목슈권	m o̞ k ɕ͈ u ɡ w ʌ̹ n	목쑤권
목요일	m o̞ ɡ j o i ɭ	모교일
목욕	m o̞ ɡ j o k̚	모굑
목욕탕	m o̞ ɡ j o k̚ tʰ a̠ ŋ	모굑탕
목장	m o̞ k̚ t͡ɕ͈ a̠ ŋ	목짱
목적	m o̞ k̚ t͡ɕ͈ ʌ̹ k̚	목쩍
목전	m o̞ k̚ t͡ɕ͈ ʌ̹ n	목쩐
목젖	m o̞ k̚ t͡ɕ͈ ʌ̹ t̚	목쩓
목차	m o̞ k̚ t͡ɕʰ a̠	목차
목청	m o̞ k̚ t͡ɕʰ ʌ̹ ŋ	목청
목청껏	m o̞ k̚ t͡ɕʰ ʌ̹ ŋ k͈ ʌ̹ t̚	목청껃
목표	m o̞ k̚ pʰ j o	목표
몫몫이	m o̞ ŋ m o̞ k ɕ͈ i	몽목씨
몬로비아	m o̞ ɭ ɭ o̞ b i a̠	몰로비아
몬순	m o̞ n sʰ u n	몬순
몬테네그로	m o̞ n tʰ e̞ n e̞ ɡ ɯ ɾ o̞	몬테네그로
몬테비데오	m o̞ n tʰ e̞ b i d e̞ o̞	몬테비데오
몬트리올	m o̞ n tʰ ɯ ɾ i o̞ ɭ	몬트리올
몰골	m o̞ ɭ ɡ o̞ ɭ	몰골
몰다	m o̞ː ɭ d a̠	몰다
몰도바	m o̞ ɭ d o̞ b a̠	몰도바
몰디브	m o̞ ɭ d i b ɯ	몰디브
몰라	m o̞ ɭ ɭ a̠	몰라
몰상식	m o̞ ɭ s͈ a̠ ŋ ɕʰ i k̚	몰쌍식
몰카	m o̞ ɭ kʰ a̠	몰카
몰타	m o̞ ɭ tʰ a̠	몰타
몰타어	m o̞ ɭ tʰ a̠ ʌ̹	몰타어
몸살	m o̞ m sʰ a̠ ɭ	몸살
몸소	m o̞ m sʰ o̞	몸소
몸조리	m o̞ m d͡ʑ o̞ ɾ i	몸조리
몸짓	m o̞ m t͡ɕ͈ i t̚	몸찓
몸통	m o̞ m tʰ o̞ ŋ	몸통
몹시	m o̞ː p ɕ͈ i	몹씨
못지않다	m o̞ː t̚ t͡ɕ͈ i a̠ n tʰ a̠	몯찌안타
못하다	m o̞ tʰ a̠ d a̠	모타다
몽고	m o̞ ŋ ɡ o̞	몽고
몽골	m o̞ ŋ ɡ o̞ ɭ	몽골
몽둥이	m o̞ ŋ d u ŋ i	몽두이
몽따쥬	m o̞ ŋ t͈ a̠ d͡ʑ u	몽따주
몽어	m o̞ ŋ ʌ̹	모어
몽정	m o̞ː ŋ d͡ʑ ʌ̹ ŋ	몽정
몽타주	m o̞ ŋ tʰ a̠ d͡ʑ u	몽타주
묘미	m j oː m i	묘미
묘사	m j oː sʰ a̠	묘사
묘사하다	m j oː sʰ a̠ ɦ a̠ d a̠	묘사하다
묘지	m j oː d͡ʑ i	묘지
무겁다	m u ɡ ʌ̹ p̚ t͈ a̠	무겁따
무게	m u ɡ e̞	무게
무국적	m u ɡ u k̚ t͡ɕ͈ ʌ̹ k̚	무국쩍
무궁화	m u ɡ u ŋ β w a̠	무궁화
무기고	m uː ɡ i ɡ o̞	무기고
무너지다	m u n ʌ̹ d͡ʑ i d a̠	무너지다
무능	m u n ɯ ŋ	무능
무늬	m u n i	무니
무당	m uː d a̠ ŋ	무당
무덥다	m u d ʌ̹ p̚ t͈ a̠	무덥따
무디다	m u d i d a̠	무디다
무뚝뚝하다	m u t͈ u k̚ t͈ u kʰ a̠ d a̠	무뚝뚜카다
무려	m u ɾ j ʌ̹	무려
무력	m u ɾ j ʌ̹ k̚	무력
무렵	m u ɾ j ʌ̹ p̚	무렵
무례	m u ɾ j e̞	무례
무료	m u ɾ j o	무료
무르다	m u ɾ ɯ d a̠	무르다
무릇	m u ɾ ɯ t̚	무륻
무릎	m u ɾ ɯ p̚	무릅
무리	m u ɾ i	무리
무리하다	m u ɾ i ɦ a̠ d a̠	무리하다
무마	m u m a̠	무마
무명	m u m j ʌ̹ ŋ	무명
무모하다	m u m o̞ ɦ a̠ d a̠	무모하다
무빙워크	m u b i ŋ w ʌ̹ k x ɯ	무비웍흐
무서움	m u sʰ ʌ̹ u m	무서움
무선	m u sʰ ʌ̹ n	무선
무선전화	m u sʰ ʌ̹ ɲ d͡ʑ ʌ̹ n β w a̠	무선전화
무섭다	m u sʰ ʌ̹ p̚ t͈ a̠	무섭따
무속	m uː sʰ o̞ k̚	무속
무속인	m uː sʰ o̞ ɡ i n	무소긴
무쇠	m u sʰ w e̞	무쇠
무술	m uː sʰ u ɭ	무술
무스카트	m u sʰ ɯ kʰ a̠ tʰ ɯ	무스카트
무승부	m u sʰ ɯ ŋ b u	무승부
무시하다	m u ɕʰ i ɦ a̠ d a̠	무시하다
무신론	m u ɕʰ i n n o̞ n	무신논
무언가	m u ʌ̹ n ɡ a̠	무언가
무언증	m u ʌ̹ ɲ t͡ɕ͈ ɯ ŋ	무언쯩
무얼	m u ʌ̹ ɭ	무얼
무엇	m u ʌ̹ t̚	무얻
무역	m uː j ʌ̹ k̚	무역
무예	m uː j e̞	무예
무인도	m u i n d o̞	무인도
무인점포	m u i ɲ d͡ʑ ʌ̹ m pʰ o̞	무인점포
무장하다	m uː d͡ʑ a̠ ŋ ɦ a̠ d a̠	무장하다
무정부주의	m u d͡ʑ ʌ̹ ŋ b u d͡ʑ u ɰ i	무정부주의
무제한	m u d͡ʑ e̞ ɦ a̠ n	무제한
무조건	m u d͡ʑ o̞ k͈ ʌ̹ n	무조껀
무죄	m u d͡ʑ w e̞	무죄
무중력	m u d͡ʑ u ŋ ɲ j ʌ̹ k̚	무중녁
무지하다	m u d͡ʑ i ɦ a̠ d a̠	무지하다
무진	m u d͡ʑ i n	무진
무진장	m u d͡ʑ i ɲ d͡ʑ a̠ ŋ	무진장
무찌르다	m u t͡ɕ͈ i ɾ ɯ d a̠	무찌르다
무척	m u t͡ɕʰ ʌ̹ k̚	무척
무치다	m u t͡ɕʰ i d a̠	무치다
무쿠리	m u kʰ u ɾ i	무쿠리
무탈	m u tʰ a̠ ɭ	무탈
무한	m u ɦ a̠ n	무한
무화과	m u β w a̠ ɡ w a̠	무화과
묵가	m u k̚ k͈ a̠	묵까
묵은지	m u ɡ ɯ ɲ d͡ʑ i	무근지
묶음	m u k͈ ɯ m	무끔
문과	m u n k͈ w a̠	문꽈
문구	m u n ɡ u	문구
문둥이	m u n d u ŋ i	문두이
문란	m uː ɭ ɭ a̠ n	물란
문명	m u n m j ʌ̹ ŋ	문명
문바람	m u n b a̠ ɾ a̠ m	문바람
문방	m u n b a̠ ŋ	문방
문법	m u n p͈ ʌ̹ p̚	문뻡
