ᆜ	j ɯ
말다	m a̠ ɭ d a̠
말똥구리	m a̠ ɭ t͈ o̞ ŋ ɡ u ɾ i
말라빠지다	m a̠ ɭ ɭ a̠ p͈ a̠ d͡ʑ i d a̠
말레이	m a̠ ɭ ɭ e̞ i
말리다	m a̠ ʎ ʎ i d a̠
말미암다	m a̠ ɭ m i a̠ m t͈ a̠
말뿌리	m a̠ː ɭ p͈ u ɾ i
말씨	m a̠ː ɭ ɕ͈ i
말차	m a̠ ʎ t͡ɕʰ a̠
말코손바닥사슴	m a̠ ɭ kʰ o̞ sʰ o̞ n b a̠ d a̠ k s͈ a̠ sʰ ɯ m
말투	m a̠ː ɭ tʰ u
맘	m a̠ː m
맘마	m a̠ m m a̠
맘마통	m a̠ m m a̠ tʰ o̞ ŋ
맘속	m a̠ː m s͈ o̞ k̚
맘카페	m a̠ m kʰ a̠ pʰ e̞
맙소사	m a̠ː p s͈ o̞ sʰ a̠
맛	m a̠ t̚
망	m a̠ ŋ
망나니	m a̠ ŋ n a̠ n i
망루	m a̠ː ŋ n u
망신	m a̠ ŋ ɕʰ i n
망아지	m a̠ ŋ a̠ d͡ʑ i
망연	m a̠ ŋ j ʌ̹ n
망연하다	m a̠ ŋ j ʌ̹ n ɦ a̠ d a̠
망울	m a̠ ŋ u ɭ
망초	m a̠ ŋ t͡ɕʰ o̞
맞이하다	m a̠ d͡ʑ i ɦ a̠ d a̠
매	m ɛː
매달다	m ɛː d a̠ ɭ d a̠
매도	m ɛː d o̞
매도하다	m ɛː d o̞ ɦ a̠ d a̠
매물	m ɛː m u ɭ
매음굴	m ɛː ɯ m ɡ u ɭ
매이다	m ɛː i d a̠
맨	m ɛː n
맹비난하다	m ɛː ŋ b i n a̠ n ɦ a̠ d a̠
맹세하다	m ɛː ŋ sʰ e̞ ɦ a̠ d a̠
먄	m j a̠ː n
머가리	m ʌ̹ ɡ a̠ ɾ i
머구	m ʌ̹ ɡ u
머금다	m ʌ̹ ɡ ɯ m t͈ a̠
머리글	m ʌ̹ ɾ i ɡ ɯ ɭ
머리끝	m ʌ̹ ɾ i k͈ ɯ t̚
머리맡	m ʌ̹ ɾ i m a̠ t̚
머리하다	m ʌ̹ ɾ i ɦ a̠ d a̠
머릿결	m ʌ̹ ɾ i t̚ k͈ j ʌ̹ ɭ
머신	m ʌ̹ ɕʰ i n
머위	m ʌ̹ ɥ i
머전	m ʌ̹ d͡ʑ ʌ̹ n
머플러	m ʌ̹ pʰ ɯ ɭ ɭ ʌ̹
머피	m ʌ̹ pʰ i
먹	m ʌ̹ k̚
먹기	m ʌ̹ k̚ k͈ i
먹방	m ʌ̹ k̚ p͈ a̠ ŋ
먹사	m ʌ̹ k s͈ a̠
먹이그물	m ʌ̹ ɡ i ɡ ɯ m u ɭ
먼데기	m ʌ̹ n d e̞ ɡ i
먼점	m ʌ̹ ɲ d͡ʑ ʌ̹ m
멈춤	m ʌ̹ m t͡ɕʰ u m
멈칫	m ʌ̹ m t͡ɕʰ i t̚
멋	m ʌ̹ t̚
멍게	m ʌ̹ ŋ ɡ e̞
멍멍	m ʌ̹ ŋ m ʌ̹ ŋ
멎다	m ʌ̹ t̚ t͈ a̠
메	m e̞
메기다	m e̞ ɡ i d a̠
메꽃	m e̞ k͈ o̞ t̚
메노라	m e̞ n o̞ ɾ a̠
메다	m e̞ d a̠
메디케어	m e̞ d i kʰ e̞ ʌ̹
메르헨	m e̞ ɾ ɯ ɦ e̞ n
메쏘드	m e̞ s͈ o̞ d ɯ
메이	m e̞ i
메이크업	m e̞ i k x ɯ ʌ̹ p̚
메인	m e̞ i n
메인트	m e̞ i n tʰ ɯ
메주	m e̞ d͡ʑ u
메추라기	m e̞ t͡ɕʰ u ɾ a̠ ɡ i
메탐페타민	m e̞ tʰ a̠ m pʰ e̞ tʰ a̠ m i n
메테인	m e̞ tʰ e̞ i n
멕이다	m e̞ ɡ i d a̠
멘델레븀	m e̞ n d e̞ ɭ ɭ e̞ b j u m
멘붕	m e̞ n b u ŋ
멜번	m e̞ ɭ b ʌ̹ n
멥쌀	m e̞ p s͈ a̠ ɭ
멧도요	m e̞ t̚ t͈ o̞ j o
멧박쥐	m e̞ t̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i
멧밭쥐	m e̞ t̚ p͈ a̠ t̚ t͡ɕ͈ ɥ i
멧비둘기	m e̞ t̚ p͈ i d u ɭ ɡ i
멧토끼	m e̞ t̚ tʰ o̞ k͈ i
멩이	m e̞ ŋ i
멱	m j ʌ̹ k̚
멱자구	m j ʌ̹ k̚ t͡ɕ͈ a̠ ɡ u
면	m j ʌ̹ n
면들레	m j ʌ̹ n d ɯ ɭ ɭ e̞
면사	m j ʌ̹ n sʰ a̠
면실유	m j ʌ̹ n ɕʰ i ɾ j u
면양	m j ʌ̹ ɲ a̠ ŋ
면포	m j ʌ̹ n pʰ o̞
멸	m j ʌ̹ ɭ
명	m j ʌ̹ ŋ
명금	m j ʌ̹ ŋ ɡ ɯ m
명료	m j ʌ̹ ŋ ɲ o
명료하다	m j ʌ̹ ŋ ɲ o ɦ a̠ d a̠
명민하다	m j ʌ̹ ŋ m i n ɦ a̠ d a̠
명분	m j ʌ̹ ŋ b u n
명사화	m j ʌ̹ ŋ sʰ a̠ β w a̠
명아주	m j ʌ̹ ŋ a̠ d͡ʑ u
명자	m j ʌ̹ ŋ t͡ɕ͈ a̠
명자나무	m j ʌ̹ ŋ d͡ʑ a̠ n a̠ m u
명조	m j ʌ̹ ŋ d͡ʑ o̞
명조체	m j ʌ̹ ŋ d͡ʑ o̞ t͡ɕʰ e̞
명창	m j ʌ̹ ŋ t͡ɕʰ a̠ ŋ
명철	m j ʌ̹ ŋ t͡ɕʰ ʌ̹ ɭ
명철하다	m j ʌ̹ ŋ t͡ɕʰ ʌ̹ ɾ ɦ a̠ d a̠
몇	m j ʌ̹ t̚
몌별	m j e̞ b j ʌ̹ ɭ
모	m o̞
모감주나무	m o̞ ɡ a̠ m d͡ʑ u n a̠ m u
모냥	m o̞ ɲ a̠ ŋ
모녀	m o̞ː ɲ ʌ̹
모다	m o̞ː d a̠
모둠	m o̞ d u m
모르폴린	m o̞ ɾ ɯ pʰ o̞ ʎ ʎ i n
모밀잣밤나무	m o̞ m i ʎ d͡ʑ a̠ t̚ p͈ a̠ m n a̠ m u
모반	m o̞ː b a̠ n
모방하다	m o̞ b a̠ ŋ ɦ a̠ d a̠
모범	m o̞ b ʌ̹ m
모살	m o̞ sʰ a̠ ɭ
모세	m o̞ sʰ e̞
모솔	m o̞ː s͈ o̞ ɭ
모시	m o̞ ɕʰ i
모식	m o̞ ɕʰ i k̚
모쏠	m o̞ː s͈ o̞ ɭ
모욕하다	m o̞ː j o kʰ a̠ d a̠
모용	m o̞ j o ŋ
모자	m o̞ d͡ʑ a̠
모자반	m o̞ d͡ʑ a̠ b a̠ n
모질다	m o̞ː d͡ʑ i ɭ d a̠
모충	m o̞ t͡ɕʰ u ŋ
모친	m o̞ː t͡ɕʰ i n
모페드	m o̞ pʰ e̞ d ɯ
목	m o̞ k̚
목격하다	m o̞ k̚ k͈ j ʌ̹ kʰ a̠ d a̠
목금	m o̞ k̚ k͈ ɯ m
목다리	m o̞ k̚ t͈ a̠ ɾ i
목마름	m o̞ ŋ m a̠ ɾ ɯ m
목말	m o̞ ŋ m a̠ ɭ
목면	m o̞ ŋ m j ʌ̹ n
목욕실	m o̞ ɡ j o k ɕ͈ i ɭ
목욕하다	m o̞ ɡ j o kʰ a̠ d a̠
목자	m o̞ k̚ t͡ɕ͈ a̠
목적론	m o̞ k̚ t͡ɕ͈ ʌ̹ ŋ n o̞ n
목적어	m o̞ k̚ t͡ɕ͈ ʌ̹ ɡ ʌ̹
목조	m o̞ k̚ t͡ɕ͈ o̞
목축	m o̞ k̚ t͡ɕʰ u k̚
목침	m o̞ k̚ t͡ɕʰ i m
목탄	m o̞ k̚ tʰ a̠ n
목통	m o̞ k̚ tʰ o̞ ŋ
목포	m o̞ k̚ pʰ o̞
목피	m o̞ k̚ pʰ i
몫	m o̞ k̚
몬타나	m o̞ n tʰ a̠ n a̠
몰	m o̞ ɭ
몰다비아	m o̞ ɭ d a̠ b i a̠
몰락	m o̞ ɭ ɭ a̠ k̚
몰르다	m o̞ ɭ ɭ ɯ d a̠
몰리다	m o̞ ʎ ʎ i d a̠
몰리브데넘	m o̞ ʎ ʎ i b ɯ d e̞ n ʌ̹ m
몰약	m o̞ ɾ j a̠ k̚
몰염치하다	m o̞ ɾ j ʌ̹ m t͡ɕʰ i ɦ a̠ d a̠
몸	m o̞ m
몸가짐	m o̞ m ɡ a̠ d͡ʑ i m
몸무게	m o̞ m m u ɡ e̞
몸비누	m o̞ m b i n u
몸빛깔	m o̞ m p͈ i t̚ k͈ a̠ ɭ
몸집	m o̞ m t͡ɕ͈ i p̚
못	m o̞ t̚
못되다	m o̞ t̚ t͈ w e̞ d a̠
못뽑이	m o̞ t̚ p͈ o̞ b i
몽	m o̞ ŋ
몽고메리	m o̞ ŋ ɡ o̞ m e̞ ɾ i
몽골반	m o̞ ŋ ɡ o̞ ɭ b a̠ n
몽롱	m o̞ ŋ n o̞ ŋ
몽롱하다	m o̞ ŋ n o̞ ŋ ɦ a̠ d a̠
몽시리	m o̞ː ŋ ɕʰ i ɾ i
뫼	m w e̞ː
뫼다	m w e̞ː d a̠
묏자리	m w e̞ t̚ t͡ɕ͈ a̠ ɾ i
묘	m j oː
묘약	m j oː j a̠ k̚
묘연	m j o j ʌ̹ n
묘연하다	m j o j ʌ̹ n ɦ a̠ d a̠
묘원	m j oː w ʌ̹ n
묘향산	m j oː ʝ a̠ ŋ sʰ a̠ n
묘호	m j o β o̞
묠니르	m j o ʎ ʎ i ɾ ɯ
무	m u
무교병	m u ɡ j o b j ʌ̹ ŋ
무기	m u ɡ i
무꾸	m u k͈ u
무끼	m u k͈ i
무녀	m uː ɲ ʌ̹
무능력자	m u n ɯ ŋ ɲ ʌ̹ k̚ t͡ɕ͈ a̠
무늬망둑	m u n i m a̠ ŋ d u k̚
무단	m u d a̠ n
무두붉나무	m u d u b u ŋ n a̠ m u
무력하다	m u ɾ j ʌ̹ kʰ a̠ d a̠
무릎께	m u ɾ ɯ p̚ k͈ e̞
무분별하다	m u b u n b j ʌ̹ ɾ ɦ a̠ d a̠
무사	m u sʰ a̠
무사도	m uː sʰ a̠ d o̞
무산쇠족제비	m uː sʰ a̠ n sʰ w e̞ d͡ʑ o̞ k̚ t͡ɕ͈ e̞ b i
무서워하다	m u sʰ ʌ̹ w ʌ̹ ɦ a̠ d a̠
무선호출기	m u sʰ ʌ̹ n β o̞ t͡ɕʰ u ɭ ɡ i
무수	m u sʰ u
무수히	m u sʰ u ʝ i
무시	m u ɕʰ i
무신	m u ɕʰ i n
무신론자	m u ɕʰ i ɭ ɭ o̞ ɲ d͡ʑ a̠
무쌍하다	m u s͈ a̠ ŋ ɦ a̠ d a̠
무아	m u a̠
무엇이든	m u ʌ̹ ɕʰ i d ɯ n
무엇하다	m u ʌ̹ tʰ a̠ d a̠
무용	m u j o ŋ
무우	m u u
무유	m u j u
무익하다	m u i kʰ a̠ d a̠
무인항공기	m u i n ɦ a̠ ŋ ɡ o̞ ŋ ɡ i
무작위	m u d͡ʑ a̠ ɡ ɥ i
무정부	m u d͡ʑ ʌ̹ ŋ b u
무차별	m u t͡ɕʰ a̠ b j ʌ̹ ɭ
무투	m u tʰ u
무화과나무	m u β w a̠ ɡ w a̠ n a̠ m u
무효하다	m u ʝ o ɦ a̠ d a̠
묵	m u k̚
묵고	m u k̚ k͈ o̞
묵납자루	m u ŋ n a̠ p̚ t͡ɕ͈ a̠ ɾ u
묵념	m u ŋ ɲ ʌ̹ m
묵다	m u k̚ t͈ a̠
묵살	m u k s͈ a̠ ɭ
묵인	m u ɡ i n
묵주	m u k̚ t͡ɕ͈ u
묶다	m u k̚ t͈ a̠
문	m u n
문경	m u n ɡ j ʌ̹ ŋ
문답	m uː n d a̠ p̚
문도	m u n d o̞
문둥이박쥐	m u n d u ŋ i b a̠ k̚ t͡ɕ͈ ɥ i
문드러지다	m u n d ɯ ɾ ʌ̹ d͡ʑ i d a̠
문묘	m u n m j o
문선	m u n sʰ ʌ̹ n
문손잡이	m u n sʰ o̞ ɲ d͡ʑ a̠ b i
문외한	m u n w e̞ ɦ a̠ n
문자반	m u ɲ t͡ɕ͈ a̠ b a̠ n
문절망둑	m u ɲ d͡ʑ ʌ̹ ɭ m a̠ ŋ d u k̚
문지르다	m u ɲ d͡ʑ i ɾ ɯ d a̠
문지방	m u ɲ t͡ɕ͈ i b a̠ ŋ
문집	m u ɲ d͡ʑ i p̚
문찐	m u ɲ t͡ɕ͈ i n
문천	m u ɲ t͡ɕʰ ʌ̹ n
묻다	m u t̚ t͈ a̠
물	m u ɭ
물고기떡	m u ɭ ɡ o̞ ɡ i t͈ ʌ̹ k̚
물공원	m u ɭ ɡ o̞ ŋ w ʌ̹ n
물굽이	m u ɭ ɡ u b i
물꿩	m u ɭ k͈ w ʌ̹ ŋ
물다	m u ɭ d a̠
물두꺼비	m u ɭ d u k͈ ʌ̹ b i
물똥	m u ɭ t͈ o̞ ŋ
물레나물	m u ɭ ɭ e̞ n a̠ m u ɭ
물려받다	m u ʎ ʎ ʌ̹ b a̠ t̚ t͈ a̠
물론입니다	m u ɭ ɭ o̞ n i m n i d a̠
물리치다	m u ʎ ʎ i t͡ɕʰ i d a̠
물메기	m u ɭ m e̞ ɡ i
물박달나무	m u ɭ b a̠ k̚ t͈ a̠ ɭ ɭ a̠ m u
물씨	m u ɭ ɕ͈ i
물어떼다	m u ɾ ʌ̹ t͈ e̞ d a̠
물에네르기	m u ɾ e̞ n e̞ ɾ ɯ ɡ i
물엿	m u ɾ j ʌ̹ t̚
물외	m u ɾ w e̞
물음표	m u ɾ ɯ m pʰ j o
물자체	m u ʎ d͡ʑ a̠ t͡ɕʰ e̞
물타기	m u ɭ tʰ a̠ ɡ i
물텀벙이	m u ɭ tʰ ʌ̹ m b ʌ̹ ŋ i
물품	m u ɭ pʰ u m
뭉클하다	m u ŋ k x ɯ ɾ ɦ a̠ d a̠
뭍	m u t̚
뮈슬리	m ɥ i sʰ ɯ ʎ ʎ i
뮤직	m j u d͡ʑ i k̚
미	m i
미강유	m i ɡ a̠ ŋ j u
미국화	m i ɡ u kʰ w a̠
미국화하다	m i ɡ u kʰ w a̠ ɦ a̠ d a̠
미궁	m iː ɡ u ŋ
미기후	m i ɡ i β u
미꾸리	m i k͈ u ɾ i
미끄러지다	m i k͈ ɯ ɾ ʌ̹ d͡ʑ i d a̠
미끄럼	m i k͈ ɯ ɾ ʌ̹ m
미끈망둑	m i k͈ ɯ n m a̠ ŋ d u k̚
미끼샤	m i k͈ i ɕʰ a̠
미네소타	m i n e̞ sʰ o̞ tʰ a̠
미다	m iː d a̠
미닫이문	m iː d a̠ d͡ʑ i m u n
미동	m i d o̞ ŋ
미드	m i d ɯ
미러	m i ɾ ʌ̹
미뢰	m i ɾ w e̞
미류	m i ɾ j u
미류하다	m i ɾ j u ɦ a̠ d a̠
미륵보살	m i ɾ ɯ k̚ p͈ o̞ sʰ a̠ ɭ
미리견	m i ɾ i ɡ j ʌ̹ n
미미	m i m i
미미하다	m i m i ɦ a̠ d a̠
미분몫	m i b u n m o̞ k̚
미분법	m i b u n p͈ ʌ̹ p̚
미섭다	m i sʰ ʌ̹ p̚ t͈ a̠
미성년	m i sʰ ʌ̹ ŋ ɲ ʌ̹ n
미성년자	m iː sʰ ʌ̹ ŋ ɲ ʌ̹ ɲ d͡ʑ a̠
미시간	m i ɕʰ i ɡ a̠ n
미시건	m i ɕʰ i ɡ ʌ̹ n
미시사가	m i ɕ͈ i sʰ a̠ ɡ a̠
미시소가	m i ɕ͈ i sʰ o̞ ɡ a̠
미시소거	m i ɕ͈ i sʰ o̞ ɡ ʌ̹
미시시피	m i ɕ͈ i ɕʰ i pʰ i
미식축구	m i ɕʰ i k̚ t͡ɕʰ u k̚ k͈ u
미싱	m i ɕʰ i ŋ
미싸일	m i s͈ a̠ i ɭ
미어터지다	m i ʌ̹ tʰ ʌ̹ d͡ʑ i d a̠
미우	m i u
미워하다	m i w ʌ̹ ɦ a̠ d a̠
미융모	m i j u ŋ m o̞
미인계	m iː i n ɡ j e̞
미적	m i d͡ʑ ʌ̹ k̚
미제	m i d͡ʑ e̞
미주리	m i d͡ʑ u ɾ i
미친놈	m i t͡ɕʰ i n n o̞ m
미크로네시아	m i k x ɯ ɾ o̞ n e̞ ɕʰ i a̠
미투리	m i tʰ u ɾ i
미화	m i β w a̠
미확인	m iː β w a̠ ɡ i n
미흡하다	m iː ɣ ɯ pʰ a̠ d a̠
민	m i n
민가	m i n ɡ a̠
민망초	m i n m a̠ ŋ t͡ɕʰ o̞
민물가마우지	m i n m u ɭ ɡ a̠ m a̠ u d͡ʑ i
민물검정망둑	m i n m u ɭ ɡ ʌ̹ m d͡ʑ ʌ̹ ŋ m a̠ ŋ d u k̚
민사	m i n sʰ a̠
민수기	m i n sʰ u ɡ i
민스크	m i n sʰ ɯ k x ɯ
민영화	m i ɲ ʌ̹ ŋ β w a̠
민영화하다	m i ɲ ʌ̹ ŋ β w a̠ ɦ a̠ d a̠
민주사회주의	m i ɲ d͡ʑ u sʰ a̠ β w e̞ d͡ʑ u ɰ i
민주적	m i ɲ d͡ʑ u d͡ʑ ʌ̹ k̚
민주주의자	m i ɲ d͡ʑ u d͡ʑ u ɰ i d͡ʑ a̠
민폐	m i n pʰ j e̞
밀	m i ɭ
밀감	m i ɭ ɡ a̠ m
밀당	m i ɭ t͈ a̠ ŋ
밀덕	m i ɭ d ʌ̹ k̚
밀물	m i ɭ m u ɭ
밀접하다	m i ʎ t͡ɕ͈ ʌ̹ pʰ a̠ d a̠
밀집되다	m i ʎ d͡ʑ i p̚ t͈ w e̞ d a̠
밀집하다	m i ʎ d͡ʑ i pʰ a̠ d a̠
밀회	m i ɾ β w e̞
밈	m i m
밋밋하다	m i n m i tʰ a̠ d a̠
및	m i t̚
밑	m i t̚
밑줄	m i t̚ t͡ɕ͈ u ɭ
밑지다	m i t̚ t͡ɕ͈ i d a̠
바	p a̠
바꼬락	p a̠ k͈ o̞ ɾ a̠ k̚
바꾸이다	p a̠ k͈ u i d a̠
바냐	p a̠ ɲ a̠
바늘꼬리도요	p a̠ n ɯ ɭ k͈ o̞ ɾ i d o̞ j o
바다꿩	p a̠ d a̠ k͈ w ʌ̹ ŋ
바다말	p a̠ d a̠ m a̠ ɭ
바다제비	p a̠ d a̠ d͡ʑ e̞ b i
바닷길	p a̠ d a̠ t̚ k͈ i ɭ
바닷물고기	p a̠ d a̠ n m u ɭ ɡ o̞ ɡ i
바당	p a̠ d a̠ ŋ
바두쯔	p a̠ d u t͡ɕ͈ ɯ
바듯하다	p a̠ d ɯ tʰ a̠ d a̠
바른	p a̠ ɾ ɯ n
바름감	p a̠ ɾ ɯ m ɡ a̠ m
바보스럽다	p a̠ː b o̞ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
바사삭	p a̠ sʰ a̠ sʰ a̠ k̚
바삭	p a̠ sʰ a̠ k̚
바삭과자	p a̠ sʰ a̠ k̚ k͈ w a̠ d͡ʑ a̠
바삭바삭	p a̠ sʰ a̠ k̚ p͈ a̠ sʰ a̠ k̚
바삭바삭하다	p a̠ sʰ a̠ k̚ p͈ a̠ sʰ a̠ kʰ a̠ d a̠
바스락	p a̠ sʰ ɯ ɾ a̠ k̚
바스스카프	p a̠ sʰ ɯ sʰ ɯ kʰ a̠ pʰ ɯ
바스테르	p a̠ sʰ ɯ tʰ e̞ ɾ ɯ
바슬바슬	p a̠ sʰ ɯ ɭ b a̠ sʰ ɯ ɭ
바우	p a̠ u
바위담비	p a̠ ɥ i d a̠ m b i
바위비둘기	p a̠ ɥ i b i d u ɭ ɡ i
바이오폴리머	p a̠ i o̞ pʰ o̞ ʎ ʎ i m ʌ̹
바자르	p a̠ d͡ʑ a̠ ɾ ɯ
바장조	p a̠ d͡ʑ a̠ ŋ d͡ʑ o̞
바치다	p a̠ t͡ɕʰ i d a̠
바코드	p a̠ kʰ o̞ d ɯ
바퀴살	p a̠ kʰ ɥ i sʰ a̠ ɭ
박	p a̠ k̚
박ㄹ혜	p a̠ k̚ k͈ ɯ n ʝ e̞
박다	p a̠ k̚ t͈ a̠
박달나무	p a̠ k̚ t͈ a̠ ɭ ɭ a̠ m u
박멸	p a̠ ŋ m j ʌ̹ ɭ
박명	p a̠ ŋ m j ʌ̹ ŋ
박수하다	p a̠ k s͈ u ɦ a̠ d a̠
박엽지	p a̠ ɡ j ʌ̹ p̚ t͡ɕ͈ i
박자	p a̠ k̚ t͡ɕ͈ a̠
밖	p a̠ k̚
반	p a̠ n
반가	p a̠ː n k͈ a̠
반감	p a̠ n ɡ a̠ m
반값	p a̠ n k͈ a̠ p̚
반격	p a̠ː n ɡ j ʌ̹ k̚
반공일	p a̠ː n ɡ o̞ ŋ i ɭ
반기다	p a̠ n ɡ i d a̠
반다르세리베가완	p a̠ n d a̠ ɾ ɯ sʰ e̞ ɾ i b e̞ ɡ a̠ w a̠ n
반달	p a̠ n d a̠ ɭ
반달가슴곰	p a̠ː n d a̠ ɭ ɡ a̠ sʰ ɯ m ɡ o̞ m
반달리즘	p a̠ n d a̠ ʎ ʎ i d͡ʑ ɯ m
반동분자	p a̠ː n d o̞ ŋ b u ɲ d͡ʑ a̠
반려견	p a̠ː ʎ ʎ ʌ̹ ɡ j ʌ̹ n
반려동물	p a̠ː ʎ ʎ ʌ̹ d o̞ ŋ m u ɭ
반려묘	p a̠ː ʎ ʎ ʌ̹ m j o
반려자	p a̠ː ʎ ʎ ʌ̹ d͡ʑ a̠
반려조	p a̠ː ʎ ʎ ʌ̹ d͡ʑ o̞
반미	p a̠ː n m i
반시간	p a̠ n ɕʰ i ɡ a̠ n
반신반의	p a̠ː n ɕʰ i n b a̠ː n ɰ i
반열반	p a̠ ɲ ʌ̹ ɭ b a̠ n
반영웅	p a̠ː ɲ ʌ̹ ŋ u ŋ
반입자	p a̠ː n i p̚ t͡ɕ͈ a̠
반자동	p a̠ː ɲ d͡ʑ a̠ d o̞ ŋ
반점	p a̠ ɲ d͡ʑ ʌ̹ m
반죽하다	p a̠ ɲ d͡ʑ u kʰ a̠ d a̠
반줄	p a̠ ɲ d͡ʑ u ɭ
반증	p a̠ː ɲ d͡ʑ ɯ ŋ
반침	p a̠ː ɲ t͡ɕʰ i m
반하다	p a̠ː n ɦ a̠ d a̠
반항	p a̠ː n ɦ a̠ ŋ
반화석	p a̠ː n β w a̠ sʰ ʌ̹ k̚
받아쓰다	p a̠ d a̠ s͈ ɯ d a̠
받치다	p a̠ t̚ t͡ɕʰ i d a̠
받침법	p a̠ t̚ t͡ɕʰ i m b ʌ̹ p̚
발	p a̠ ɭ
발가벗다	p a̠ ɭ ɡ a̠ b ʌ̹ t̚ t͈ a̠
발각	p a̠ ɭ ɡ a̠ k̚
발간사	p a̠ ɭ ɡ a̠ n sʰ a̠
발간하다	p a̠ ɭ ɡ a̠ n ɦ a̠ d a̠
발갛다	p a̠ː ɭ ɡ a̠ tʰ a̠
발광	p a̠ ɭ ɡ w a̠ ŋ
발급	p a̠ ɭ ɡ ɯ p̚
발기다	p a̠ ɭ ɡ i d a̠
발단	p a̠ ɭ t͈ a̠ n
발뒤꿈	p a̠ ɭ t͈ ɥ i k͈ u m
발등	p a̠ ɭ t͈ ɯ ŋ
발딱	p a̠ ɭ t͈ a̠ k̚
발랄라이카	p a̠ ɭ ɭ a̠ ɭ ɭ a̠ i kʰ a̠
발문	p a̠ ɭ m u n
발바리차	p a̠ː ɭ b a̠ ɾ i t͡ɕʰ a̠
발발	p a̠ ɭ b a̠ ɭ
발보이다	p a̠ ɭ b o̞ i d a̠
발상	p a̠ ɭ s͈ a̠ ŋ
발상하다	p a̠ ɭ s͈ a̠ ŋ ɦ a̠ d a̠
발소리	p a̠ ɭ s͈ o̞ ɾ i
발송자	p a̠ ɭ sʰ o̞ ŋ d͡ʑ a̠
발언	p a̠ ɾ ʌ̹ n
발연기	p a̠ ɾ j ʌ̹ n ɡ i
발음기관	p a̠ ɾ ɯ m ɡ i ɡ w a̠ n
발음법	p a̠ ɾ ɯ m p͈ ʌ̹ p̚
발표되다	p a̠ ɭ pʰ j o d w e̞ d a̠
발표하다	p a̠ ɭ pʰ j o ɦ a̠ d a̠
발휘	p a̠ ɾ ɦ ɥ i
밝을녘	p a̠ ɭ ɡ ɯ ʎ ʎ ʌ̹ k̚
밝쥐	p a̠ k̚ t͡ɕ͈ ɥ i
밟다	p a̠ː p̚ t͈ a̠
밤	p a̠ m
밤나무	p a̠ m n a̠ m u
밤낮없이	p a̠ m n a̠ d ʌ̹ p ɕ͈ i
밤참	p a̠ m t͡ɕʰ a̠ m
밥	p a̠ p̚
밥길	p a̠ p̚ k͈ i ɭ
방	p a̠ ŋ
방가면	p a̠ ŋ ɡ a̠ m j ʌ̹ n
방공	p a̠ ŋ ɡ o̞ ŋ
방귀뀌다	p a̠ ŋ ɡ ɥ i k͈ ɥ i d a̠
방글라데슈	p a̠ ŋ ɡ ɯ ɭ ɭ a̠ d e̞ ɕʰ u
방긋	p a̠ ŋ ɡ ɯ t̚
방년	p a̠ ŋ ɲ ʌ̹ n
방동사니	p a̠ ŋ d o̞ ŋ sʰ a̠ n i
방명	p a̠ ŋ m j ʌ̹ ŋ
방목하다	p a̠ː ŋ m o̞ kʰ a̠ d a̠
방문자	p a̠ː ŋ m u ɲ d͡ʑ a̠
방사성	p a̠ː ŋ sʰ a̠ s͈ ʌ̹ ŋ
방송하다	p a̠ː ŋ sʰ o̞ ŋ ɦ a̠ d a̠
방수	p a̠ ŋ sʰ u
방수하다	p a̠ ŋ sʰ u ɦ a̠ d a̠
방어율	p a̠ ŋ ʌ̹ j u ɭ
방역하다	p a̠ ŋ j ʌ̹ kʰ a̠ d a̠
방위	p a̠ ŋ ɥ i
방전	p a̠ ŋ d͡ʑ ʌ̹ n
방접원	p a̠ ŋ d͡ʑ ʌ̹ b w ʌ̹ n
방종	p a̠ ŋ d͡ʑ o̞ ŋ
방죽	p a̠ ŋ d͡ʑ u k̚
방추	p a̠ ŋ t͡ɕʰ u
방치하다	p a̠ː ŋ t͡ɕʰ i ɦ a̠ d a̠
방플	p a̠ː ŋ pʰ ɯ ɭ
방향족	p a̠ ŋ ʝ a̠ ŋ d͡ʑ o̞ k̚
방호	p a̠ ŋ β o̞
방화	p a̠ ŋ β w a̠
밭	p a̠ t̚
밭둑	p a̠ t̚ t͈ u k̚
밭쥐	p a̠ t̚ t͡ɕ͈ ɥ i
배	p ɛː
배관	p ɛː ɡ w a̠ n
배급	p ɛː ɡ ɯ p̚
배달하다	p ɛː d a̠ ɾ ɦ a̠ d a̠
배분	p ɛː b u n
배분하다	p ɛː b u n ɦ a̠ d a̠
배역	p ɛː j ʌ̹ k̚
배열	p ɛː j ʌ̹ ɭ
배치	p ɛː t͡ɕʰ i
배후	p ɛː β u
뱀	p ɛː m
뱀밥	p ɛː m b a̠ p̚
뱡기	p j a̠ ŋ ɡ i
버글버글	p ʌ̹ ɡ ɯ ɭ b ʌ̹ ɡ ɯ ɭ
버금	p ʌ̹ ɡ ɯ m
버들	p ʌ̹ d ɯ ɭ
버마어	p ʌ̹ m a̠ ʌ̹
버몬트	p ʌ̹ m o̞ n tʰ ɯ
버뮤다	p ʌ̹ m j u d a̠
버서석	p ʌ̹ sʰ ʌ̹ sʰ ʌ̹ k̚
버석	p ʌ̹ sʰ ʌ̹ k̚
버석버석	p ʌ̹ sʰ ʌ̹ k̚ p͈ ʌ̹ sʰ ʌ̹ k̚
